Student_ID,Attendance(%),Internal_Marks,Assignments_Submitted,Previous_Sem_Result(%)
S1172,74.1,36.7,1,65.4
S1173,79.1,33.8,3,43.8
S1174,78.3,40.0,5,39.4
S1175,84.9,23.4,1,80.2
S1176,75.2,33.2,7,79.4
S1177,92.4,29.1,7,67.6
S1178,71.8,40.0,0,90.7
S1179,100.0,23.2,2,71.6
S1180,82.5,23.0,9,83.7
S1181,64.7,24.4,8,71.3
S1182,62.1,15.3,4,60.9
S1183,80.8,24.8,5,49.1
S1184,72.3,23.4,3,55.9
S1185,83.6,28.9,9,61.1
S1186,80.7,30.1,1,85.4
S1187,74.1,39.3,10,76.5
S1188,64.8,33.7,7,70.0
S1189,56.8,24.5,10,78.1
S1190,69.6,22.6,5,72.9
S1191,85.3,31.0,4,68.9
S1192,77.6,20.1,8,42.5
S1193,60.1,39.0,0,82.1
S1194,77.1,35.1,4,58.1
S1195,79.6,25.2,5,81.3
S1196,64.4,17.7,4,82.8
S1197,76.8,36.1,5,54.9
S1198,75.7,27.3,5,79.2
S1199,61.3,35.4,6,59.6
